0,do1,1616761213.818076,1616761214.0397944
1,do1,1616761214.3560193,1616761214.5394688
2,do1,1616761214.92811,1616761215.1444714
3,re1,1616761215.5171292,1616761215.9156587
4,mi1,1616761216.1799798,1616761216.9984436
5,re1,1616761217.2908926,1616761217.789472
6,do1,1616761218.131449,1616761218.4099658
7,mi1,1616761218.8194475,1616761218.8716176
8,mi1,1616761218.9069743,1616761219.0517046
9,mi1,1616761219.4795713,1616761219.668285
10,re1,1616761220.1828754,1616761220.4246628
11,do1,1616761220.821717,1616761222.300094
12,do_n1,1616761224.4322774,1616761224.5063968
13,do_n1,1616761224.8869019,1616761224.8869019
14,do1,1616761227.0131857,1616761227.693811
15,do1,1616761228.8609068,1616761228.8629055
